StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,QID1_1,QID1_2,QID1_3,QID1_4,SMS_1,SMS_2,SMS_3,SMS_4,SMS_5,SMS_6,SMS_7,SMS_8,SMS_9,SMS_10,SMS_11,SMS_12,SMS_13,SMS_14,SMS_15,SMS_16,SMS_17,SMS_18,SMS_19,SMS_20,SMS_21,Attrak_1,Attrak_2,Attrak_3,Attrak_4,Attrak_5,Attrak_6,Attrak_7,Attrak_8,Attrak_9,Attrak_10,Attrak_11,Attrak_12,Attrak_13,Attrak_14,Attrak_15,Attrak_16,Attrak_17,Attrak_18,Attrak_19,Attrak_20,Attrak_21,Attrak_22,Attrak_23,Attrak_24,Attrak_25,Attrak_26,Attrak_27,Attrak_28,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Age,Gender,Gender.1,Q13
2022-07-21 07:45,2022-07-21 09:36,0,138.246.3.120,100,6632,1,2022-07-21 09:36,R_2wb0U7hm9pBND0a,,,,,48.1787,11.5617,anonymous,EN,11,1,5,5,5,4,3,4,3,2,1,4,2,1,4,2,1,2,1,3,4,4,2,4,4,1,3,6,1,2,3,2,7,3,1,7,2,6,7,6,2,6,7,7,4,7,7,4,2,7,7,1,2,7,4,1,5,1,4,1,4,1,5,1,5,5,5,3,3,2,3,5,2,2,2,1,3,1,1,25,1,,7
2022-07-21 09:39,2022-07-21 09:44,0,138.246.3.120,100,304,1,2022-07-21 09:44,R_2pLyaBsCNGRFrEU,,,,,48.1787,11.5617,anonymous,EN,12,2,5,4,3,2,4,5,3,1,3,5,4,3,5,1,1,3,3,2,4,3,4,4,4,2,4,6,2,2,3,2,4,2,2,7,2,6,4,6,2,6,6,6,1,6,6,2,2,6,2,1,2,4,4,2,4,1,4,2,4,1,3,2,3,3,4,5,3,5,2,4,3,3,3,6,2,4,3,24,1,,7
2022-07-27 08:27,2022-07-27 08:42,0,213.55.226.31,100,879,1,2022-07-27 08:42,R_12Dv5rV9hgFuPxh,,,,,47.0804,8.2626,anonymous,EN,NP01,1,2,1,2,3,1,5,1,3,1,3,1,5,5,1,1,5,3,1,5,3,3,5,3,1,1,7,2,3,1,2,7,3,1,7,1,6,6,4,1,7,7,6,2,5,5,6,2,3,5,2,5,6,3,1,5,1,3,2,4,2,4,2,4,5,5,2,3,2,3,2,2,1,2,1,2,2,3,27,2,,7
2022-07-27 08:47,2022-07-27 08:58,0,213.55.221.114,100,679,1,2022-07-27 08:58,R_2YaFdI2ZtbSVpY5,,,,,46.5267,6.6243,anonymous,EN,NP02,2,4,5,3,2,4,5,2,3,2,4,2,1,3,4,2,4,3,5,5,3,4,3,4,3,6,5,2,3,4,2,5,1,4,6,5,3,5,4,2,4,6,5,1,5,6,5,2,5,6,1,4,5,3,1,2,1,3,3,4,2,3,1,5,6,4,5,6,1,4,4,3,6,4,6,5,4,6,23,2,,7
2022-07-28 08:15,2022-07-29 05:54,0,130.82.11.55,100,77934,1,2022-07-29 05:54,R_3n7zcnnxKORBfU3,,,,,47.4234,9.3696,anonymous,EN,NP03,1,4,5,4,3,3,4,4,4,1,3,2,3,4,1,2,5,3,3,4,4,4,5,3,1,2,6,2,3,2,2,4,2,3,5,5,4,5,4,3,5,5,5,2,6,5,3,3,5,5,2,3,6,4,2,4,1,3,3,4,2,4,1,4,5,5,2,6,3,5,5,3,4,3,5,5,5,6,26,1,,7
2022-07-29 05:59,2022-07-29 06:09,0,130.82.11.55,100,565,1,2022-07-29 06:09,R_2wHcs11gH40pALZ,,,,,47.4234,9.3696,anonymous,EN,NP04,2,4,4,3,1,3,3,3,3,3,4,3,1,4,3,3,2,4,1,5,2,2,3,3,3,2,5,2,2,3,2,4,3,3,5,4,3,3,5,3,5,5,7,2,6,5,5,3,4,5,3,3,5,3,2,4,1,3,1,4,2,3,1,6,5,5,2,3,1,4,4,5,5,5,3,4,5,6,25,2,,7
2022-08-02 07:42,2022-08-02 07:50,0,46.205.146.10,100,474,1,2022-08-02 07:50,R_2wdJArSevXglsU8,,,,,53.4286,14.5475,anonymous,EN,NP05,1,4,5,5,3,2,5,4,3,4,5,5,2,5,3,2,5,4,3,4,5,3,5,4,1,2,6,2,2,3,6,6,2,1,6,3,3,5,6,2,6,6,4,1,5,6,4,2,5,5,1,2,6,5,1,5,2,4,2,5,1,4,2,2,1,3,3,2,2,2,4,3,4,5,3,2,1,3,20,2,,4
2022-08-02 07:55,2022-08-02 08:05,0,46.205.146.10,100,611,1,2022-08-02 08:05,R_277f9yY9rSjOG5R,,,,,53.4286,14.5475,anonymous,EN,NP06,2,5,5,4,3,3,5,2,4,3,3,3,3,4,4,4,4,4,4,3,2,3,4,4,3,1,5,2,2,1,3,5,2,1,4,4,2,4,6,1,7,7,7,1,3,7,3,2,4,6,2,3,5,3,1,5,1,3,3,3,3,3,1,3,6,5,2,3,2,3,2,3,3,5,3,3,4,6,26,1,,4
2022-08-02 09:27,2022-08-02 09:36,0,46.205.146.10,100,550,1,2022-08-02 09:36,R_1nMBSR4b9d8Utd3,,,,,53.4286,14.5475,anonymous,EN,NP07,2,4,3,2,5,5,2,2,4,5,2,4,1,3,5,5,2,4,2,3,4,4,5,2,5,5,6,3,5,5,2,5,1,5,6,5,2,3,3,4,3,4,3,4,6,4,5,6,3,5,3,6,6,2,2,4,1,3,2,5,3,5,1,2,5,6,2,4,6,5,6,2,5,3,6,1,5,5,30,1,,4
2022-08-02 09:36,2022-08-02 09:42,0,46.205.146.10,100,380,1,2022-08-02 09:42,R_1OCvFkCDxRIcttV,,,,,53.4286,14.5475,anonymous,EN,NP08,1,4,5,4,3,3,5,5,3,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,6,5,2,3,1,1,4,1,1,7,4,3,4,6,2,4,6,6,1,5,6,1,2,6,3,2,4,6,4,1,5,1,5,1,5,3,5,1,5,6,6,1,6,6,3,6,5,5,6,2,4,5,6,20,2,,4
